trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,dep_dt,arr_dt,expected_transit_hours,delay_hours,is_delayed,mandi_name,district,state
TRP000034,MANDI057,WH-West,2026-08-13T05:21:48,13-Aug-2026 14:15:48,8.9,437.5,km,DL 65 AB 3380,DRV761,437.5,2026-08-13 05:21:48,2026-08-13 14:15:48,10.7,0.0,False,Gorakhpur APMC,Bareilly,Uttar Pradesh
TRP001251,MANDI039,WH-West,06-22-2026 12:15 AM,06-22-2026 06:39 AM,6.4,257.7 KM,,HR 17 AB 1638,DRV299,250.0,2026-06-22 00:15:00,2026-06-22 06:39:00,6.6,0.0,False,Anand Grain Market,Kurukshetra,Haryana
TRP003527,MANDI055,WH-North,02-17-2026 07:49 PM,,4.1,148.9426287,miles,PB 25 BC 1517,DRV630,239.7,2026-02-17 19:49:00,,6.3,0.0,False,Chandigarh APMC,Bareilly,Uttar Pradesh
TRP008904,MANDI056,WH-North,05-02-2026 10:59 AM,2026-05-03 07:17:55,20.3,1115.4,km,PB 28 DF 8439,DRV544,1115.4,2026-05-02 10:59:00,2026-05-03 07:17:55,25.8,0.0,False,Bilaspur Mandi,Bareilly,Uttar Pradesh
TRP001537,MANDI012,WH-West,09/05/2026 02:30,09/05/2026,15.1,835.3,km,RJ 10 AB 4277,,835.3,2026-09-05 02:30:00,2026-09-05 00:00:00,19.6,0.0,False,Gaya Grain Market,Patiala,Punjab
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,02-06-2026 01:25 PM,4.5,199.5,km,UP 83 AB 2103,DRV524,199.5,2026-02-06 08:55:45,2026-02-06 13:25:00,5.4,0.0,False,Guna Mandi,Ferozepur,Punjab
TRP001122,MANDI011,WH-South,05-01-2026 10:46 PM,,16.9,819.7,km,RJ 78 BC 1965,DRV222,819.7,2026-05-01 22:46:00,,19.2,0.0,False,Arrah Mandi,Patiala,Punjab
TRP001218,MANDI052,Export-Terminal,24/06/2026 08:17,24-Jun-2026 14:11:31,5.9,271.6,km,RJ 41 DF 2783,DRV825,271.6,2026-06-24 08:17:00,2026-06-24 14:11:31,7.0,0.0,False,Kakinada APMC,Saharanpur,Uttar Pradesh
TRP004111,MANDI032,WH-North,04/08/2026 21:07,05/08/2026 05:49,8.7,520.4,km,RJ87 CD 3403,DRV733,520.4,2026-04-08 21:07:00,2026-05-08 05:49:00,12.6,0.0,False,Chapra Grain Market,Ambala,Haryana
TRP008942,MANDI021,Export-Terminal,2026-04-19T23:37:28,2026-04-20 16:19:28,16.7,850.8,km,PB 98 DF 3830,DRV786,850.8,2026-04-19 23:37:28,2026-04-20 16:19:28,19.9,0.0,False,Guna Mandi,Ferozepur,Punjab
TRP000305,MANDI026,Export-Terminal,22/06/2026,,7.6,422.6,km,HR 20 CD 6378,DRV161,422.6,2026-06-22 00:00:00,,10.4,0.0,False,Tadipatri Mandi,Hisar,Haryana
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,km,,DRV190,417.5,2026-04-01 04:37:31,2026-04-01 12:55:31,10.3,0.0,False,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
TRP007782,MANDI024,WH-South,03/08/2026,2026-08-03 14:39:21,8.8,313.4816695,miles,RJ 72 AB 5979,DRV685,504.5,2026-03-08 00:00:00,2026-08-03 14:39:21,12.2,0.0,False,Jaipur Mandi,Karnal,Haryana
TRP002486,MANDI025,WH-Central,08-06-2026 03:13 AM,,13.5,503.0,km,HR 58 AB 7983,DRV608,503.0,2026-08-06 03:13:00,,12.2,1.3,True,Dindigul APMC,Karnal,Haryana
TRP003291,MANDI023,WH-North,02/06/2026 17:53,03-Jun-2026 10:29:33,16.6,766.0,km,PB 51 CD 7947,DRV432,766.0,2026-02-06 17:53:00,2026-06-03 10:29:33,18.0,0.0,False,Panihati APMC,Karnal,Haryana
TRP006819,MANDI048,WH-South,23-Jul-2026 07:56:05,23/07/2026 19:02,11.1,446.2,km,DL 38 BC 6694,DRV485,446.2,2026-07-23 07:56:05,2026-07-23 19:02:00,10.9,0.2,False,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
TRP001278,MANDI022,WH-Central,18-Jul-2026 20:53:32,19-Jul-2026 01:41:32,4.8,262.2,km,HR94 DF 4063,DRV934,262.2,2026-07-18 20:53:32,2026-07-19 01:41:32,6.8,0.0,False,Eluru APMC,Karnal,Haryana
TRP001902,MANDI028,Export-Terminal,07/07/2026 07:23,07-08-2026 01:59 AM,18.6,1020.6,km,UP 34 DF 9243,DRV421,1020.6,2026-07-07 07:23:00,2026-07-08 01:59:00,23.7,0.0,False,Machilipatnam APMC,Hisar,Haryana
TRP000440,MANDI054,WH-North,01-22-2026 02:59 PM,2026-01-23 12:23:07,21.4,1016.8,km,UP 50 AB 4159,DRV162,1016.8,2026-01-22 14:59:00,2026-01-23 12:23:07,23.6,0.0,False,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,10-Apr-2026 22:47:01,16.5,842.6 KM,,,DRV709,250.0,2026-04-10 06:17:01,2026-04-10 22:47:01,6.6,9.9,True,Jalandhar Mandi,Kurukshetra,Haryana
TRP002456,MANDI016,WH-East,05-Jun-2026 08:59:36,05-Jun-2026 11:59:36,3.0,164.3,km,DL 30 BC 8601,,164.3,2026-06-05 08:59:36,2026-06-05 11:59:36,4.7,0.0,False,Kulti APMC,Bathinda,Punjab
TRP002904,MANDI007,WH-South,16/01/2026,2026-01-16 16:54:49,10.2,524.1,km,RJ 55 BC 3913,DRV357,524.1,2026-01-16 00:00:00,2026-01-16 16:54:49,12.6,0.0,False,Nashik Mandi,Amritsar,Punjab
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05T17:53:31,20.6,610.3727332999999,miles,PB83 DF 9790,DRV893,982.3,2026-07-04 21:17:31,2026-07-05 17:53:31,22.8,0.0,False,Jaunpur Mandi,Moga,Punjab
TRP006235,MANDI031,WH-South,01/02/2026 14:55,01-Feb-2026 21:31:24,7.5,364.3 KM,,HR69 AB 7486,,250.0,2026-01-02 14:55:00,2026-02-01 21:31:24,6.6,0.9,False,Nangloi Jat Mandi,Sirsa,Haryana
TRP006410,MANDI049,WH-West,13/01/2026,2026-01-14T15:30:30,39.5,973.7,km,PB73 BC 6200,DRV302,973.7,2026-01-13 00:00:00,2026-01-14 15:30:30,22.6,16.9,True,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
TRP001922,MANDI045,WH-North,20/03/2026 20:25,21/03/2026 03:37,7.2,297.1,km,HR 67 CD 4681,DRV547,297.1,2026-03-20 20:25:00,2026-03-21 03:37:00,7.6,0.0,False,Farrukhabad Mandi,Meerut,Uttar Pradesh
TRP006686,MANDI051,Export-Terminal,01/04/2026 06:14,02-Apr-2026 02:14:05,20.0,1007.1,km,PB 13 DF 2493,,1007.1,2026-01-04 06:14:00,2026-04-02 02:14:05,23.4,0.0,False,Gulbarga Market,Saharanpur,Uttar Pradesh
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,644.4 KM,,RJ28 DF 3707,DRV628,250.0,2026-05-06 15:52:28,2026-05-07 04:22:28,6.6,5.9,True,Chapra Grain Market,Ambala,Haryana
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,16/08/2026 03:36,23.8,621.1845887000001,miles,DL 52 BC 1440,DRV361,999.7,2026-08-15 03:48:23,2026-08-16 03:36:00,23.2,0.6,False,Dehri Mandi,Agra,Uttar Pradesh
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,20/02/2026,11.9,592.1,km,UP 24 CD 4874,DRV886,592.1,2026-02-19 19:53:29,2026-02-20 00:00:00,14.2,0.0,False,Kochi APMC,Hisar,Haryana
TRP007839,MANDI056,WH-Central,04-23-2026 10:45 AM,2026-04-24T01:33:34,14.8,794.7 KM,,DL 17 DF 2064,DRV560,250.0,2026-04-23 10:45:00,2026-04-24 01:33:34,6.6,8.2,True,Bilaspur Mandi,Bareilly,Uttar Pradesh
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,1021.5 KM,,RJ 44 CD 5651,,250.0,2026-04-28 05:23:39,,6.6,13.0,True,Kakinada APMC,Saharanpur,Uttar Pradesh
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,km,,,479.5,2026-02-09 18:12:41,2026-02-10 02:36:41,11.7,0.0,False,Parbhani Market,Patiala,Punjab
TRP005169,MANDI025,Export-Terminal,07-02-2026 05:00 PM,07-02-2026 11:36 PM,6.6,343.0,km,UP31 CD 6120,DRV353,343.0,2026-07-02 17:00:00,2026-07-02 23:36:00,8.6,0.0,False,Dindigul APMC,Karnal,Haryana
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,12/06/2026,17.6,905.9,km,HR 94 CD 1203,DRV937,905.9,2026-06-11 18:00:06,2026-12-06 00:00:00,21.1,0.0,False,Panihati APMC,Karnal,Haryana
TRP001248,MANDI029,WH-South,06/08/2026 00:51,2026-08-06 22:39:09,25.7,1018.2,km,HR 49 DF 9523,DRV507,1018.2,2026-06-08 00:51:00,2026-08-06 22:39:09,23.6,2.1,True,Asansol Grain Market,Sirsa,Haryana
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,km,UP 77 BC 2470,DRV735,354.5,2026-06-08 02:25:26,2026-06-08 08:49:26,8.9,0.0,False,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
TRP006454,MANDI019,WH-South,07-Jun-2026 18:33:51,2026-06-08T15:09:51,20.6,743.5325386,miles,DL 39 BC 7294,,1196.6,2026-06-07 18:33:51,2026-06-08 15:09:51,27.6,0.0,False,Karimnagar Grain Market,Moga,Punjab
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,4.3,185.9,km,RJ 30 DF 3879,DRV891,185.9,2026-08-01 08:47:10,2026-08-01 13:05:10,5.1,0.0,False,Gorakhpur APMC,Bareilly,Uttar Pradesh
TRP007504,MANDI043,Export-Terminal,16-Jan-2026 15:53:18,17/01/2026,19.6,914.9 KM,,UP 78 AB 5221,DRV629,250.0,2026-01-16 15:53:18,2026-01-17 00:00:00,6.6,13.0,True,Danapur Mandi,Agra,Uttar Pradesh
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03T17:18:29,23.7,1160.4,km,UP 55 CD 7932,,1160.4,2026-07-02 17:36:29,2026-07-03 17:18:29,26.8,0.0,False,Panihati APMC,Karnal,Haryana
TRP006585,MANDI037,WH-West,25-Jul-2026 01:21:38,,3.7,216.5,km,,DRV203,216.5,2026-07-25 01:21:38,,5.8,0.0,False,Jorhat Grain Market,Kurukshetra,Haryana
TRP005072,MANDI033,WH-West,02/06/2026 09:35,02/06/2026 17:29,7.9,378.4,km,,,378.4,2026-02-06 09:35:00,2026-02-06 17:29:00,9.4,0.0,False,South Dumdum Grain Market,Ambala,Haryana
TRP001684,MANDI023,WH-South,2026-04-02T15:52:48,03-Apr-2026 08:10:48,16.3,852.2,km,PB 27 BC 9556,DRV142,852.2,2026-04-02 15:52:48,2026-04-03 08:10:48,19.9,0.0,False,Panihati APMC,Karnal,Haryana
TRP005282,MANDI047,WH-East,27/04/2026,04-28-2026 06:09 PM,22.8,842.2062534,miles,DL86 BC 3753,DRV801,1355.4,2026-04-27 00:00:00,2026-04-28 18:09:00,31.1,0.0,False,Orai Market,Muzaffarnagar,Uttar Pradesh
TRP002702,MANDI021,WH-East,15-Aug-2026 13:34:52,,18.7,1052.5,km,DL 36 CD 4633,DRV980,1052.5,2026-08-15 13:34:52,,24.4,0.0,False,Guna Mandi,Ferozepur,Punjab
TRP005728,MANDI003,WH-Central,04/04/2026 18:01,2026-04-04T22:07:53,4.1,217.4 KM,,PB 53 AB 1832,DRV811,250.0,2026-04-04 18:01:00,2026-04-04 22:07:53,6.6,0.0,False,Vijayawada Mandi,Ludhiana,Punjab
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,16-Jun-2026 07:05:00,14.9,753.5,km,RJ 27 AB 2586,DRV100,753.5,2026-06-15 16:11:00,2026-06-16 07:05:00,17.7,0.0,False,Anand Grain Market,Kurukshetra,Haryana
TRP003747,MANDI044,WH-West,2026-01-06T10:03:07,07-Jan-2026 03:39:07,17.6,710.0,km,UP 62 CD 7472,DRV268,710.0,2026-01-06 10:03:07,2026-01-07 03:39:07,16.8,0.8,False,Dehri Mandi,Agra,Uttar Pradesh
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,796.1 KM,,HR 28 AB 1975,DRV770,250.0,2026-05-15 02:42:06,2026-05-15 16:48:06,6.6,7.5,True,Solapur Mandi,Ludhiana,Punjab
TRP008483,MANDI029,WH-East,06-11-2026 11:02 AM,11/06/2026,9.5,466.1,km,HR28 BC 5774,DRV713,466.1,2026-06-11 11:02:00,2026-11-06 00:00:00,11.4,0.0,False,Asansol Grain Market,Sirsa,Haryana
TRP002933,MANDI057,WH-South,21-Feb-2026 22:30:34,22/02/2026,10.1,445.6,km,DL 23 AB 5218,DRV564,445.6,2026-02-21 22:30:34,2026-02-22 00:00:00,10.9,0.0,False,Gorakhpur APMC,Bareilly,Uttar Pradesh
TRP005382,MANDI055,WH-Central,08/06/2026,06-08-2026 11:09 AM,5.2,294.0,km,HR 81 AB 3126,DRV461,294.0,2026-08-06 00:00:00,2026-06-08 11:09:00,7.5,0.0,False,Chandigarh APMC,Bareilly,Uttar Pradesh
TRP004003,MANDI019,WH-South,2026-07-08 04:44:04,09/07/2026,19.8,840.2,km,RJ 14 BC 6388,DRV158,840.2,2026-07-08 04:44:04,2026-09-07 00:00:00,19.7,0.1,False,Karimnagar Grain Market,Moga,Punjab
TRP006097,MANDI018,WH-East,2026-06-13T20:45:53,2026-06-14 19:33:53,22.8,1100.8,km,UP 13 BC 5242,,1100.8,2026-06-13 20:45:53,2026-06-14 19:33:53,25.5,0.0,False,Jaunpur Mandi,Moga,Punjab
TRP008343,MANDI038,WH-West,22/01/2026 19:47,23-Jan-2026 05:47:40,10.0,294.6541282,miles,RJ 36 BC 7540,DRV350,474.2,2026-01-22 19:47:00,2026-01-23 05:47:40,11.5,0.0,False,Jalandhar Mandi,Kurukshetra,Haryana
TRP005897,MANDI055,WH-East,28-Feb-2026 08:43:48,28/02/2026 16:25,7.7,445.7,km,HR20 DF 4433,DRV311,445.7,2026-02-28 08:43:48,2026-02-28 16:25:00,10.9,0.0,False,Chandigarh APMC,Bareilly,Uttar Pradesh
TRP002517,MANDI030,WH-East,2026-04-13 19:43:10,14-Apr-2026 11:19:10,15.6,734.4,km,RJ 46 BC 3812,DRV863,734.4,2026-04-13 19:43:10,2026-04-14 11:19:10,17.3,0.0,False,Patiala APMC,Sirsa,Haryana
TRP008025,MANDI057,WH-South,2026-06-24 13:12:06,2026-06-25 10:06:06,20.9,1010.3,km,DL 69 AB 5694,DRV331,1010.3,2026-06-24 13:12:06,2026-06-25 10:06:06,23.5,0.0,False,Gorakhpur APMC,Bareilly,Uttar Pradesh
TRP002479,MANDI056,WH-North,17/03/2026 16:41,18/03/2026 06:41,14.0,825.5 KM,,UP 20 AB 6931,,250.0,2026-03-17 16:41:00,2026-03-18 06:41:00,6.6,7.4,True,Bilaspur Mandi,Bareilly,Uttar Pradesh
TRP008311,MANDI008,WH-East,2026-08-18T01:45:45,2026-08-18 19:57:45,18.2,906.1,km,,DRV132,906.1,2026-08-18 01:45:45,2026-08-18 19:57:45,21.1,0.0,False,Bijapur Market,Amritsar,Punjab
TRP004149,MANDI028,WH-West,03/05/2026 20:00,04/05/2026 18:12,22.2,948.0,km,PB 14 CD 6880,DRV298,948.0,2026-03-05 20:00:00,2026-04-05 18:12:00,22.1,0.1,False,Machilipatnam APMC,Hisar,Haryana
TRP005734,MANDI034,WH-South,05/03/2026 16:09,06/03/2026,10.8,521.1,km,UP 88 CD 9876,DRV770,521.1,2026-05-03 16:09:00,2026-06-03 00:00:00,12.6,0.0,False,Ludhiana Grain Market,Ambala,Haryana
TRP007377,MANDI013,WH-Central,27/03/2026,2026-03-28 00:06:22,20.9,1005.3,km,UP77 AB 5053,DRV676,1005.3,2026-03-27 00:00:00,2026-03-28 00:06:22,23.3,0.0,False,Aurangabad Market,Patiala,Punjab
TRP007332,MANDI047,WH-Central,03-21-2026 02:57 PM,2026-03-22T12:33:45,21.6,569.3622472999999,miles,RJ 37 BC 7009,DRV210,916.3,2026-03-21 14:57:00,2026-03-22 12:33:45,21.4,0.2,False,Orai Market,Muzaffarnagar,Uttar Pradesh
TRP004831,MANDI036,WH-South,2026-07-01 10:10:04,01/07/2026 16:10,6.0,332.5,km,DL85 DF 2318,,332.5,2026-07-01 10:10:04,2026-01-07 16:10:00,8.4,0.0,False,Mysore Grain Market,Kurukshetra,Haryana
TRP007838,MANDI040,WH-Central,05/04/2026 10:04,05-Apr-2026 16:04:02,6.0,318.5,km,RJ 55 AB 5201,DRV518,318.5,2026-05-04 10:04:00,2026-04-05 16:04:02,8.1,0.0,False,Jodhpur Market,Fatehabad,Haryana
TRP003466,MANDI031,WH-North,08-24-2026 09:58 PM,2026-08-25 08:52:52,10.9,556.2 KM,,,DRV696,250.0,2026-08-24 21:58:00,2026-08-25 08:52:52,6.6,4.3,True,Nangloi Jat Mandi,Sirsa,Haryana
