arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,arrival_qtl,date_dt,date_str,mandi_name,district,state
ARR0011887,2026/01/01,MANDI018,Cotton,HD-2967,44197.0,kg,49,441.97,2026-01-01,2026-01-01,Jaunpur Mandi,Moga,Punjab
ARR0023086,2026/01/01,MANDI039,Mustard,Local,251.04 qtl,,12,251.04,2026-01-01,2026-01-01,Anand Grain Market,Kurukshetra,Haryana
ARR0003461,01-Jan-2026,MANDI005,Rice,Local,112.64,Quintals,50,112.64,2026-01-01,2026-01-01,Bhilwara Grain Market,Amritsar,Punjab
ARR0023159,01.01.2026,MANDI009,Sugarcane,,16781.0,KGS,122,167.81,2026-01-01,2026-01-01,Jamshedpur APMC,Jalandhar,Punjab
ARR0014543,2026-01-01,MANDI017,Mustard,HD-2967,44174.0,kg,108,441.74,2026-01-01,2026-01-01,Parbhani Market,Patiala,Punjab
ARR0006916,2026-01-01,MANDI052,Sugarcane,,14349.0,kg,74,143.49,2026-01-01,2026-01-01,Kakinada APMC,Saharanpur,Uttar Pradesh
ARR0010230,01-Jan-2026,MANDI016,Mustard,Pusa-1121,20.094,MT,11,200.94,2026-01-01,2026-01-01,Kulti APMC,Bathinda,Punjab
ARR0011301,2026-01-01,MANDI045,Wheat,Pusa-1121,256.05,Quintals,44,256.05,2026-01-01,2026-01-01,Farrukhabad Mandi,Meerut,Uttar Pradesh
ARR0018694,2026-01-01,MANDI018,Maize,HD-2967,1.4289999999999998,Tonnes,96,14.29,2026-01-01,2026-01-01,Jaunpur Mandi,Moga,Punjab
ARR0008680,01-01-2026,MANDI009,Maize,Hybrid,131.6,Q,36,131.6,2026-01-01,2026-01-01,Jamshedpur APMC,Jalandhar,Punjab
ARR0004340,01-Jan-2026,MANDI049,Rice,HD-2967,12.405,MT,30,124.05,2026-01-01,2026-01-01,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0005665,2026/01/01,MANDI010,Sugarcane,,"28,786.0 KG",,121,28.0,2026-01-01,2026-01-01,Dhule APMC,Jalandhar,Punjab
ARR0017810,01.01.2026,MANDI046,Maize,Premium,363.05,Q,110,363.05,2026-01-01,2026-01-01,Baranagar Market,Muzaffarnagar,Uttar Pradesh
ARR0010125,01-Jan-2026,MANDI045,Sugarcane,Pusa-1121,16372.0,kg,24,163.72,2026-01-01,2026-01-01,Farrukhabad Mandi,Meerut,Uttar Pradesh
ARR0021336,01/01/2026,MANDI053,Wheat,Hybrid,118.21,Qtl,47,118.21,2026-01-01,2026-01-01,Panihati Market,Saharanpur,Uttar Pradesh
ARR0011766,01-01-2026,MANDI030,Cotton,PBW-343,16548.0,kg,131,165.48,2026-01-01,2026-01-01,Patiala APMC,Sirsa,Haryana
ARR0013334,01/02/2026,MANDI038,Sugarcane,PBW-343,31920.0,KG,47,319.2,2026-01-02,2026-01-02,Jalandhar Mandi,Kurukshetra,Haryana
ARR0019223,2026-01-02,MANDI035,Cotton,HD-2967,38.951,T,53,389.51,2026-01-02,2026-01-02,Guntakal Mandi,Ambala,Haryana
ARR0005566,01/02/2026,MANDI006,Mustard,Hybrid,339.58 qtl,,132,339.58,2026-01-02,2026-01-02,Kochi Mandi,Amritsar,Punjab
,01/02/2026,MANDI049,Sugarcane,Pusa-1121,262.28 qtl,,89,262.28,2026-01-02,2026-01-02,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0022648,01-02-2026,MANDI024,Sugarcane,Pusa-1121,48.492000000000004,T,20,484.92,2026-01-02,2026-01-02,Jaipur Mandi,Karnal,Haryana
ARR0023910,01.02.2026,MANDI012,Mustard,Local,174.47,quintal,53,174.47,2026-01-02,2026-01-02,Gaya Grain Market,Patiala,Punjab
ARR0007772,01.02.2026,MANDI055,Mustard,Premium,23099.0,Kilo,61,230.99,2026-01-02,2026-01-02,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0001309,2026-01-02,MANDI047,Wheat,Pusa-1121,17.041,MT,113,170.41,2026-01-02,2026-01-02,Orai Market,Muzaffarnagar,Uttar Pradesh
ARR0003249,2026-01-02,MANDI046,Rice,Hybrid,180.11,qtl,82,180.11,2026-01-02,2026-01-02,Baranagar Market,Muzaffarnagar,Uttar Pradesh
ARR0003862,01-02-2026,MANDI053,Rice,,"22,928.0 KG",,146,22.0,2026-01-02,2026-01-02,Panihati Market,Saharanpur,Uttar Pradesh
ARR0011776,2026-01-02,MANDI043,Mustard,PBW-343,"41,237.0 KG",,84,41.0,2026-01-02,2026-01-02,Danapur Mandi,Agra,Uttar Pradesh
ARR0013291,01-02-2026,MANDI054,Maize,Hybrid,351.09 qtl,,109,351.09,2026-01-02,2026-01-02,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
ARR0012642,01/02/2026,MANDI016,Mustard,Premium,-15.07,KG,34,0.15,2026-01-02,2026-01-02,Kulti APMC,Bathinda,Punjab
ARR0017689,01/02/2026,MANDI039,Mustard,Local,433.25,Q,100,433.25,2026-01-02,2026-01-02,Anand Grain Market,Kurukshetra,Haryana
,2026/01/02,MANDI033,Cotton,PBW-343,324.91,Quintals,54,324.91,2026-01-02,2026-01-02,South Dumdum Grain Market,Ambala,Haryana
ARR0010507,01/02/2026,MANDI026,Rice,HD-2967,25788.0,KGS,112,257.88,2026-01-02,2026-01-02,Tadipatri Mandi,Hisar,Haryana
ARR0000642,01-02-2026,MANDI001,Mustard,PBW-343,9.503,MT,50,95.03,2026-01-02,2026-01-02,Hyderabad Mandi,Ludhiana,Punjab
ARR0010507,01/02/2026,MANDI026,Rice,HD-2967,25788.0,KGS,112,257.88,2026-01-02,2026-01-02,Tadipatri Mandi,Hisar,Haryana
ARR0019919,02-Jan-2026,MANDI036,Cotton,,276.3,quintal,115,276.3,2026-01-02,2026-01-02,Mysore Grain Market,Kurukshetra,Haryana
ARR0003114,01-02-2026,MANDI033,Maize,PBW-343,255.88,Quintals,120,255.88,2026-01-02,2026-01-02,South Dumdum Grain Market,Ambala,Haryana
ARR0007384,01.02.2026,MANDI030,Wheat,,10.847,MT,101,108.47,2026-01-02,2026-01-02,Patiala APMC,Sirsa,Haryana
ARR0021755,02-Jan-2026,MANDI044,Cotton,,41.303,Tonnes,99,413.03,2026-01-02,2026-01-02,Dehri Mandi,Agra,Uttar Pradesh
ARR0006964,01-02-2026,MANDI011,Cotton,Pusa-1121,"46,330.0 KG",,110,46.0,2026-01-02,2026-01-02,Arrah Mandi,Patiala,Punjab
ARR0001930,01-02-2026,MANDI036,Cotton,,212.63,Q,96,212.63,2026-01-02,2026-01-02,Mysore Grain Market,Kurukshetra,Haryana
ARR0016227,2026/01/02,MANDI013,Cotton,Pusa-1121,30454.000000000004,kg,50,304.54,2026-01-02,2026-01-02,Aurangabad Market,Patiala,Punjab
ARR0020989,01-02-2026,MANDI033,Cotton,Hybrid,"7,573.0 KG",,132,7.0,2026-01-02,2026-01-02,South Dumdum Grain Market,Ambala,Haryana
ARR0020531,02-Jan-2026,MANDI037,Sugarcane,Local,36555.0,kg,50,365.55,2026-01-02,2026-01-02,Jorhat Grain Market,Kurukshetra,Haryana
ARR0023098,02-Jan-2026,MANDI036,Mustard,Local,27.314999999999998,MT,117,273.15,2026-01-02,2026-01-02,Mysore Grain Market,Kurukshetra,Haryana
ARR0018208,2026/01/02,MANDI027,Rice,Pusa-1121,30.660000000000004,T,11,306.6,2026-01-02,2026-01-02,Kochi APMC,Hisar,Haryana
ARR0022156,2026-01-02,MANDI032,Rice,HD-2967,192.88,qtl,103,192.88,2026-01-02,2026-01-02,Chapra Grain Market,Ambala,Haryana
ARR0003434,2026-01-02,MANDI021,Rice,Local,223.31,Quintals,41,223.31,2026-01-02,2026-01-02,Guna Mandi,Ferozepur,Punjab
ARR0020137,01-02-2026,MANDI034,Sugarcane,Pusa-1121,35775.0,Kgs,32,357.75,2026-01-02,2026-01-02,Ludhiana Grain Market,Ambala,Haryana
ARR0008237,2026/01/02,MANDI022,Maize,Local,427.57 qtl,,115,427.57,2026-01-02,2026-01-02,Eluru APMC,Karnal,Haryana
ARR0015748,01.02.2026,MANDI017,Maize,Pusa-1121,8711.0,Kgs,51,87.11,2026-01-02,2026-01-02,Parbhani Market,Patiala,Punjab
ARR0015620,2026-01-02,MANDI025,Cotton,Pusa-1121,27189.999999999996,Kgs,125,271.9,2026-01-02,2026-01-02,Dindigul APMC,Karnal,Haryana
ARR0005485,01-02-2026,MANDI021,Mustard,Pusa-1121,30248.0,Kilo,111,302.48,2026-01-02,2026-01-02,Guna Mandi,Ferozepur,Punjab
ARR0002803,01-02-2026,MANDI043,Sugarcane,HD-2967,21777.0,Kilo,13,217.77,2026-01-02,2026-01-02,Danapur Mandi,Agra,Uttar Pradesh
ARR0022041,01/02/2026,MANDI036,Sugarcane,,426.1,Q,101,426.1,2026-01-02,2026-01-02,Mysore Grain Market,Kurukshetra,Haryana
ARR0018793,2026-01-02,MANDI021,Rice,Local,343.49,Quintals,50,343.49,2026-01-02,2026-01-02,Guna Mandi,Ferozepur,Punjab
ARR0009702,2026-01-02,MANDI038,Wheat,Pusa-1121,35662.0,kg,50,356.62,2026-01-02,2026-01-02,Jalandhar Mandi,Kurukshetra,Haryana
ARR0012922,2026-01-02,MANDI002,Maize,HD-2967,403.78,qtl,32,403.78,2026-01-02,2026-01-02,Solapur Mandi,Ludhiana,Punjab
ARR0019101,2026/01/02,MANDI008,Cotton,,65.72,Qtl,43,65.72,2026-01-02,2026-01-02,Bijapur Market,Amritsar,Punjab
ARR0010574,01/02/2026,MANDI055,Cotton,Premium,39.171,T,119,391.71,2026-01-02,2026-01-02,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0008676,01.02.2026,MANDI019,Sugarcane,Hybrid,352.23,quintal,55,352.23,2026-01-02,2026-01-02,Karimnagar Grain Market,Moga,Punjab
ARR0019497,2026/01/02,MANDI051,Maize,PBW-343,30017.0,Kgs,42,300.17,2026-01-02,2026-01-02,Gulbarga Market,Saharanpur,Uttar Pradesh
ARR0016458,01/02/2026,MANDI038,Wheat,PBW-343,70.32,qtl,46,70.32,2026-01-02,2026-01-02,Jalandhar Mandi,Kurukshetra,Haryana
ARR0023004,01.02.2026,MANDI049,Rice,PBW-343,10830.0,KGS,48,108.3,2026-01-02,2026-01-02,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0000719,2026/01/02,MANDI022,Maize,PBW-343,1814.9999999999998,KG,25,18.15,2026-01-02,2026-01-02,Eluru APMC,Karnal,Haryana
ARR0011495,01.02.2026,MANDI036,Wheat,HD-2967,-442.16,Qtl,35,442.16,2026-01-02,2026-01-02,Mysore Grain Market,Kurukshetra,Haryana
,01/02/2026,MANDI055,Cotton,Pusa-1121,28089.999999999996,Kgs,140,280.9,2026-01-02,2026-01-02,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0017272,02-Jan-2026,MANDI030,Mustard,,376.58,qtl,64,376.58,2026-01-02,2026-01-02,Patiala APMC,Sirsa,Haryana
ARR0023437,02-Jan-2026,MANDI032,Cotton,Premium,125.76 qtl,,140,125.76,2026-01-02,2026-01-02,Chapra Grain Market,Ambala,Haryana
ARR0020633,01-02-2026,MANDI023,Rice,Local,13.479,tonnes,120,134.79,2026-01-02,2026-01-02,Panihati APMC,Karnal,Haryana
ARR0016269,2026-01-02,MANDI041,Sugarcane,Pusa-1121,39876.0,Kilo,77,398.76,2026-01-02,2026-01-02,Gurgaon Grain Market,Fatehabad,Haryana
ARR0004826,01/02/2026,MANDI006,Rice,PBW-343,332.43 qtl,,22,332.43,2026-01-02,2026-01-02,Kochi Mandi,Amritsar,Punjab
ARR0019552,2026/01/02,MANDI033,Sugarcane,Premium,26538.0,KG,32,265.38,2026-01-02,2026-01-02,South Dumdum Grain Market,Ambala,Haryana
ARR0021882,2026/01/02,MANDI004,Mustard,Local,5.9159999999999995,tonnes,130,59.16,2026-01-02,2026-01-02,Khandwa Grain Market,Ludhiana,Punjab
ARR0018605,01.02.2026,MANDI055,Mustard,Hybrid,2240.0,kg,83,22.4,2026-01-02,2026-01-02,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0009169,01-02-2026,MANDI001,Sugarcane,Local,112.05,quintal,50,112.05,2026-01-02,2026-01-02,Hyderabad Mandi,Ludhiana,Punjab
ARR0000719,2026/01/02,MANDI022,Maize,PBW-343,1814.9999999999998,KG,25,18.15,2026-01-02,2026-01-02,Eluru APMC,Karnal,Haryana
ARR0002586,01-02-2026,MANDI008,Mustard,Local,352.55,Quintals,50,352.55,2026-01-02,2026-01-02,Bijapur Market,Amritsar,Punjab
ARR0018750,2026-01-02,MANDI001,Maize,HD-2967,58.14 qtl,,134,58.14,2026-01-02,2026-01-02,Hyderabad Mandi,Ludhiana,Punjab
ARR0016886,2026/01/02,MANDI011,Mustard,HD-2967,"8,195.0 KG",,123,8.0,2026-01-02,2026-01-02,Arrah Mandi,Patiala,Punjab
,01/02/2026,MANDI055,Cotton,Pusa-1121,28089.999999999996,Kgs,140,280.9,2026-01-02,2026-01-02,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0013457,01-02-2026,MANDI046,Wheat,,"34,813.0 KG",,138,34.0,2026-01-02,2026-01-02,Baranagar Market,Muzaffarnagar,Uttar Pradesh
ARR0013646,01.02.2026,MANDI002,Rice,Local,88.3 qtl,,50,88.3,2026-01-02,2026-01-02,Solapur Mandi,Ludhiana,Punjab
ARR0014202,01.02.2026,MANDI016,Rice,Premium,141.47,Q,81,141.47,2026-01-02,2026-01-02,Kulti APMC,Bathinda,Punjab
ARR0010561,01/02/2026,MANDI052,Wheat,PBW-343,13194.0,Kgs,50,131.94,2026-01-02,2026-01-02,Kakinada APMC,Saharanpur,Uttar Pradesh
ARR0015251,01.02.2026,MANDI006,Mustard,Premium,28.729000000000003,Tonnes,50,287.29,2026-01-02,2026-01-02,Kochi Mandi,Amritsar,Punjab
ARR0024812,2026-01-02,MANDI035,Sugarcane,,-173.28,KG,44,1.73,2026-01-02,2026-01-02,Guntakal Mandi,Ambala,Haryana
ARR0014916,01/02/2026,MANDI021,Maize,Local,254.99,Q,84,254.99,2026-01-02,2026-01-02,Guna Mandi,Ferozepur,Punjab
ARR0020456,2026/01/02,MANDI021,Sugarcane,Pusa-1121,36.138,Tonnes,95,361.38,2026-01-02,2026-01-02,Guna Mandi,Ferozepur,Punjab
ARR0011456,01.02.2026,MANDI026,Cotton,PBW-343,31217.0,kg,50,312.17,2026-01-02,2026-01-02,Tadipatri Mandi,Hisar,Haryana
ARR0015241,02-Jan-2026,MANDI039,Mustard,Hybrid,38484.0,Kgs,54,384.84,2026-01-02,2026-01-02,Anand Grain Market,Kurukshetra,Haryana
ARR0001575,2026/01/02,MANDI040,Wheat,HD-2967,178.77 qtl,,29,178.77,2026-01-02,2026-01-02,Jodhpur Market,Fatehabad,Haryana
